size,read-start,read-end,time,block-time
4096,0.926132856,0.926262568,0.000129712,0.000129712
8192,0.926266952,0.926467976,0.000201024,0.000100512
16384,0.926472136,0.926715992,0.000243856,0.000060964
32768,0.926719768,0.927140688,0.000420920,0.000052615
65536,0.927143928,0.927766984,0.000623056,0.000038941
131072,0.927770672,0.928599968,0.000829296,0.000025916
262144,0.928603424,0.930325928,0.001722504,0.000026914
524288,0.930330328,0.934640416,0.004310088,0.000033673
1048576,0.934645976,0.942091616,0.007445640,0.000029085
2097152,0.942096296,0.956452904,0.014356608,0.000028040
4096,0.956458232,0.956613576,0.000155344,0.000155344
8192,0.956617960,0.956863600,0.000245640,0.000122820
16384,0.956867456,0.957112976,0.000245520,0.000061380
32768,0.957117024,0.957480008,0.000362984,0.000045373
65536,0.957483616,0.958106568,0.000622952,0.000038935
131072,0.958110160,0.959232216,0.001122056,0.000035064
262144,0.959235840,0.961403568,0.002167728,0.000033871
524288,0.961408000,0.965606792,0.004198792,0.000032803
1048576,0.965611496,0.973664400,0.008052904,0.000031457
2097152,0.973669600,0.987292224,0.013622624,0.000026607
4096,0.987297544,0.987425456,0.000127912,0.000127912
8192,0.987430176,0.987585608,0.000155432,0.000077716
16384,0.987589608,0.987853176,0.000263568,0.000065892
32768,0.987856928,0.988133816,0.000276888,0.000034611
65536,0.988137296,0.988763496,0.000626200,0.000039138
131072,0.988766952,0.989883896,0.001116944,0.000034905
262144,0.989887320,0.992106328,0.002219008,0.000034672
524288,0.992110680,0.995216408,0.003105728,0.000024263
1048576,0.995220792,1.001417432,0.006196640,0.000024206
2097152,1.001422624,1.016980632,0.015558008,0.000030387
4096,1.016986272,1.017140688,0.000154416,0.000154416
8192,1.017145632,1.017327312,0.000181680,0.000090840
16384,1.017331144,1.017573944,0.000242800,0.000060700
32768,1.017577856,1.017851352,0.000273496,0.000034187
65536,1.017854696,1.018324072,0.000469376,0.000029336
131072,1.018327664,1.019443936,0.001116272,0.000034883
262144,1.019447728,1.021088208,0.001640480,0.000025633
524288,1.021092920,1.025317280,0.004224360,0.000033003
1048576,1.025322280,1.032309240,0.006986960,0.000027293
2097152,1.032314408,1.048846856,0.016532448,0.000032290
4096,1.048852752,1.049003456,0.000150704,0.000150704
8192,1.049007312,1.049195344,0.000188032,0.000094016
16384,1.049199376,1.049434600,0.000235224,0.000058806
32768,1.049438800,1.049711608,0.000272808,0.000034101
65536,1.049715176,1.050325912,0.000610736,0.000038171
131072,1.050329616,1.051560088,0.001230472,0.000038452
262144,1.051564576,1.053155488,0.001590912,0.000024858
524288,1.053159328,1.057342784,0.004183456,0.000032683
1048576,1.057347320,1.063620552,0.006273232,0.000024505
2097152,1.063625224,1.080201008,0.016575784,0.000032375
4096,1.080206688,1.080375376,0.000168688,0.000168688
8192,1.080380536,1.080537880,0.000157344,0.000078672
16384,1.080542736,1.080809480,0.000266744,0.000066686
32768,1.080814248,1.081106176,0.000291928,0.000036491
65536,1.081110352,1.081726984,0.000616632,0.000038539
131072,1.081730968,1.082853112,0.001122144,0.000035067
262144,1.082857192,1.085004712,0.002147520,0.000033555
524288,1.085008776,1.088664880,0.003656104,0.000028563
1048576,1.088669632,1.096995448,0.008325816,0.000032523
2097152,1.097000408,1.113753832,0.016753424,0.000032722
4096,1.113758976,1.113919704,0.000160728,0.000160728
8192,1.113923752,1.114114344,0.000190592,0.000095296
16384,1.114118968,1.114310968,0.000192000,0.000048000
32768,1.114314672,1.114591432,0.000276760,0.000034595
65536,1.114594200,1.115218304,0.000624104,0.000039007
131072,1.115222208,1.116053256,0.000831048,0.000025970
262144,1.116057120,1.117651584,0.001594464,0.000024914
524288,1.117655128,1.120839888,0.003184760,0.000024881
1048576,1.120844456,1.129153272,0.008308816,0.000032456
2097152,1.129157584,1.145234656,0.016077072,0.000031401
4096,1.145240160,1.145394952,0.000154792,0.000154792
8192,1.145399552,1.145580264,0.000180712,0.000090356
16384,1.145583904,1.145946880,0.000362976,0.000090744
32768,1.145951032,1.146487472,0.000536440,0.000067055
65536,1.146491760,1.146963440,0.000471680,0.000029480
131072,1.146966784,1.147790784,0.000824000,0.000025750
262144,1.147793896,1.149382776,0.001588880,0.000024826
524288,1.149386320,1.153671024,0.004284704,0.000033474
1048576,1.153675584,1.159665320,0.005989736,0.000023397
2097152,1.159669144,1.174635544,0.014966400,0.000029231
4096,1.174640608,1.174789976,0.000149368,0.000149368
8192,1.174794192,1.174982608,0.000188416,0.000094208
16384,1.174987176,1.175180904,0.000193728,0.000048432
32768,1.175183976,1.175568296,0.000384320,0.000048040
65536,1.175572288,1.176174800,0.000602512,0.000037657
131072,1.176178560,1.177005896,0.000827336,0.000025854
262144,1.177009640,1.178972576,0.001962936,0.000030671
524288,1.178976824,1.182474016,0.003497192,0.000027322
1048576,1.182479296,1.190229752,0.007750456,0.000030275
2097152,1.190234592,1.206847232,0.016612640,0.000032447
4096,1.206852848,1.206980040,0.000127192,0.000127192
8192,1.206983840,1.207187840,0.000204000,0.000102000
16384,1.207191600,1.207452288,0.000260688,0.000065172
32768,1.207456344,1.207820688,0.000364344,0.000045543
65536,1.207824032,1.208292152,0.000468120,0.000029258
131072,1.208295888,1.209120488,0.000824600,0.000025769
262144,1.209123728,1.210779416,0.001655688,0.000025870
524288,1.210784416,1.214933048,0.004148632,0.000032411
1048576,1.214937616,1.223188624,0.008251008,0.000032231
2097152,1.223193456,1.239775120,0.016581664,0.000032386
4096,1.239780336,1.239940744,0.000160408,0.000160408
8192,1.239945576,1.240091728,0.000146152,0.000073076
16384,1.240095456,1.240278920,0.000183464,0.000045866
32768,1.240281896,1.240738832,0.000456936,0.000057117
65536,1.240743192,1.241323560,0.000580368,0.000036273
131072,1.241327104,1.242490664,0.001163560,0.000036361
262144,1.242494688,1.244088048,0.001593360,0.000024896
524288,1.244092184,1.248208280,0.004116096,0.000032157
1048576,1.248212624,1.255081688,0.006869064,0.000026832
2097152,1.255086752,1.267743800,0.012657048,0.000024721
4096,1.267749288,1.267878848,0.000129560,0.000129560
8192,1.267883008,1.268071224,0.000188216,0.000094108
16384,1.268075096,1.268311776,0.000236680,0.000059170
32768,1.268315640,1.268586456,0.000270816,0.000033852
65536,1.268589720,1.269041384,0.000451664,0.000028229
131072,1.269044400,1.269870816,0.000826416,0.000025825
262144,1.269874176,1.272117832,0.002243656,0.000035057
524288,1.272122216,1.275229776,0.003107560,0.000024278
1048576,1.275234640,1.283312760,0.008078120,0.000031555
2097152,1.283318248,1.295666696,0.012348448,0.000024118
4096,1.295672000,1.295797608,0.000125608,0.000125608
8192,1.295802888,1.295993240,0.000190352,0.000095176
16384,1.295997416,1.296196144,0.000198728,0.000049682
32768,1.296199600,1.296493488,0.000293888,0.000036736
65536,1.296496992,1.296946472,0.000449480,0.000028092
131072,1.296949576,1.297775072,0.000825496,0.000025797
262144,1.297778552,1.299364776,0.001586224,0.000024785
524288,1.299368456,1.303687848,0.004319392,0.000033745
1048576,1.303692344,1.310493920,0.006801576,0.000026569
2097152,1.310498168,1.325832200,0.015334032,0.000029949
4096,1.325837680,1.325965224,0.000127544,0.000127544
8192,1.325969392,1.326156008,0.000186616,0.000093308
16384,1.326160136,1.326353520,0.000193384,0.000048346
32768,1.326356744,1.326632808,0.000276064,0.000034508
