size,read-start,read-end,time,block-time
4096,0.338626880,0.338703680,0.000076800,0.000076800
8192,0.338707328,0.338786584,0.000079256,0.000039628
16384,0.338789664,0.339000088,0.000210424,0.000052606
32768,0.339003280,0.339304928,0.000301648,0.000037706
65536,0.339308224,0.339505536,0.000197312,0.000012332
131072,0.339508904,0.339804560,0.000295656,0.000009239
262144,0.339807608,0.340396848,0.000589240,0.000009207
524288,0.340400768,0.341555936,0.001155168,0.000009025
1048576,0.341559752,0.343743088,0.002183336,0.000008529
2097152,0.343747472,0.348341208,0.004593736,0.000008972
4096,0.348345728,0.348435576,0.000089848,0.000089848
8192,0.348440496,0.348521392,0.000080896,0.000040448
16384,0.348524472,0.348612016,0.000087544,0.000021886
32768,0.348616896,0.348773192,0.000156296,0.000019537
65536,0.348777248,0.348948736,0.000171488,0.000010718
131072,0.348952928,0.349263240,0.000310312,0.000009697
262144,0.349267688,0.350229760,0.000962072,0.000015032
524288,0.350234184,0.351383952,0.001149768,0.000008983
1048576,0.351387304,0.353666104,0.002278800,0.000008902
2097152,0.353670280,0.358190512,0.004520232,0.000008829
4096,0.358194232,0.358260048,0.000065816,0.000065816
8192,0.358264888,0.358375168,0.000110280,0.000055140
16384,0.358379432,0.358489376,0.000109944,0.000027486
32768,0.358493960,0.358632552,0.000138592,0.000017324
65536,0.358637640,0.358827016,0.000189376,0.000011836
131072,0.358831272,0.359138648,0.000307376,0.000009606
262144,0.359143208,0.359731856,0.000588648,0.000009198
524288,0.359735352,0.360806096,0.001070744,0.000008365
1048576,0.360809864,0.363095552,0.002285688,0.000008928
2097152,0.363099776,0.367671344,0.004571568,0.000008929
4096,0.367675048,0.367741920,0.000066872,0.000066872
8192,0.367746640,0.367844488,0.000097848,0.000048924
16384,0.367848960,0.367942016,0.000093056,0.000023264
32768,0.367944736,0.368075872,0.000131136,0.000016392
65536,0.368080080,0.368286336,0.000206256,0.000012891
131072,0.368290784,0.368743088,0.000452304,0.000014135
262144,0.368746168,0.369328056,0.000581888,0.000009092
524288,0.369331512,0.370476264,0.001144752,0.000008943
1048576,0.370479520,0.372760560,0.002281040,0.000008910
2097152,0.372763832,0.377354352,0.004590520,0.000008966
4096,0.377358672,0.377437488,0.000078816,0.000078816
8192,0.377440896,0.377523024,0.000082128,0.000041064
16384,0.377526424,0.377623328,0.000096904,0.000024226
32768,0.377626720,0.377747776,0.000121056,0.000015132
65536,0.377750664,0.377923472,0.000172808,0.000010800
131072,0.377926872,0.378220928,0.000294056,0.000009189
262144,0.378224216,0.378806056,0.000581840,0.000009091
524288,0.378809248,0.379959920,0.001150672,0.000008990
1048576,0.379963840,0.382267744,0.002303904,0.000009000
2097152,0.382271384,0.386917272,0.004645888,0.000009074
4096,0.386921432,0.386998120,0.000076688,0.000076688
8192,0.387001736,0.387085992,0.000084256,0.000042128
16384,0.387089240,0.387185896,0.000096656,0.000024164
32768,0.387189224,0.387327264,0.000138040,0.000017255
65536,0.387330456,0.387504016,0.000173560,0.000010848
131072,0.387507000,0.387802000,0.000295000,0.000009219
262144,0.387805272,0.388386288,0.000581016,0.000009078
524288,0.388389376,0.389544744,0.001155368,0.000009026
1048576,0.389548232,0.391844408,0.002296176,0.000008969
2097152,0.391848200,0.396538272,0.004690072,0.000009160
4096,0.396542632,0.396617624,0.000074992,0.000074992
8192,0.396621256,0.396705336,0.000084080,0.000042040
16384,0.396709120,0.396805056,0.000095936,0.000023984
